TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1460	N	Sandburg	TER	905	Chicago	Illinois	60610	8008	Cook		299	299	324	Condo, High Rise (7+ Stories)		1962	07127295	CLSD		189900	185000	185000	189900	FHA	N/A	97%	97%	53	53	17042070861114				1385.24	Homeowner	2007	486	No		Yes			9		0	Not Reported				S (South), W (West), City, Park	4	1	1	0	1		1		1	Attached	None		Fantastic location!  Walk to the lake, Red and Brown line, Gold Coast/Lincoln Park restaurants and shopping.  Open layout with large bedroom, tons of closet space, huge windows with city views.  This is a full amenity building(pool, exercise facility, 24 hr doorman, dry cleaner, rooftop sundeck, bike room) allows pets, and has rental parking on-site.  Assessments include heat and cable!	Seller to pay special assessment in full upon closing.  Special is for exterior facade work that is currently being performed.  Unit also available for rent.		2 (Window/Wall Unit)	Hot Water/Steam				Oven/Range, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Valet/Cleaner	Heat, Water, Common Insurance, Doorman, TV/Cable, Scavenger, Snow Removal															Vinyl	Carpet	None	Carpet				18X11	18X18	10X08		COMBO					02/04/2009	03/28/2009	03/28/2009	05/12/2009	
AT	1460	N	SANDBURG	TER	1504A	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299		Condo		1974	07154038	CLSD		162500	154000	154000	162500	FHA	S	95%	95%	34	34	17042070861092	No			1800.99	None	2007	310	Yes		Unknown			15		0	Not Reported				N (North), Lake/Water	3	1	1	0	1		1		1		None		VIEW VIEW VIEW! This has the view you are looking for.  Original condition unit is priced to sell. FHA approved means low downpayment. Take advantage of FHA financing today.  Tenant is month to month. Free tennis! Enjoy the pool in the summer. also a workout room and party room...nominal fee for use. Doorman, sundeck, parking short wait or park next door at 1555 right away. 24 Hr. doorman	CC: Pursuant to Short Sale. Ready for your finishing touches. Please make your appointments after 12 noon. Tenant works nights. Tenant is month to month.		1 (Window/Wall Unit)	Hot Water/Steam		Storage					Heat, Water, Security, Doorman, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal																	None					11X11	16X12	9X8		COMBO				Door Monitored By TV	03/06/2009	04/08/2009	04/08/2009	05/01/2009	
AT	1460	N	SANDBURG	TER	612	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	324	Condo, High Rise (7+ Stories)		1966	07195239	CLSD		319000	299000	299000	319000	Conventional	N/A	94%	94%	36	36	17042070861300				3519.42	Homeowner	2007	681	Yes		Yes			6		0	Not Reported				N (North), W (West), City	5	2	2	0	2		2		1	Attached	None	None	Wonderfully redone NW corner home features large balcony off big open living room, with separate dining space,and terrific kitchen with beautiful light cherry cabinets,granite counters + huge island w/raised breakfast bar and stainless apps; all with beautiful diagonal hardwood floors.Spacious,split bedrooms with good closets.Two well done,full stone baths. Nothing to do but move in. Walk to everything. A Great Find!	Very well executed rehab with quality cabinets and attractive stone. Assessments include heat and cable. Good value for client seeking location and move–in condition. Bright & spacious corner layout with big balcony and nice split bedrooms.		3+ (Window/Wall Unit), Zoned	Hot Water/Steam		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar		Door Person, Coin Laundry, Elevator, Exercise Room, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Tennis Court/s, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				75			Carpet					Hardwood	TV-Cable, CO Detectors, Ceiling Fan		Hardwood	Hardwood	Full	Carpet	14X13			16X12	19X14	15X08		10X10			Combined w/ LivRm	Balcony, Storms/Screens, End Unit	04/22/2009	05/27/2009	05/27/2009	07/27/2009	
AT	1460	N	SANDBURG		1905	Chicago	Illinois	60610	8008	Cook		299	299	324	Condo, Mid Rise (4-6 Stories)		1962	07236816	CLSD		246500	224000	224000	229000	Conventional	N/A	98%	91%	142	142	17042070861123				1479		2007	445	No		No			19		0	Not Reported				S (South), E (East), W (West)	4	1	1	0	1		1		1	Attached	None		FHA APPROVED. SANDBURG HIGH FLOOR SOUTHWEST CORNER UNIT W/GREAT VIEWS - JUST FINISHED GUT REHAB - NEW BAMBOO FLOORS - DARKWOOD CABINETS - SS APPLIANCES, NEW CLOSET DOORS - COOL NEW BATH - FRAMELESS SHOWER DOORS - MARBLE SHOWER WALLS - MIRRORED WALLS OVER SINK - BIG BEDROOM - NEW BLINDS - PLENTY OF STORAGE - BLDG HAS 24HR DOORMAN, LAUNDRY - STORAGE - POOL - WORKOUT ROOM - SEE THIS UNIT JUST MOVE IN.			2 (Window/Wall Unit)	Hot Water/Steam		Elevator, Hardwood Floors		Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Outdoors, Receiving Room, Tennis Court/s, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Doorman, Exterior Maintenance, Scavenger												Hardwood				Hardwood	None	Hardwood				16X11	18X16	10X08		COMBO			Combined w/ LivRm	Storms/Screens	06/05/2009	10/24/2009	10/24/2009	11/20/2009	
AT	1460	N	Sandburg	TER	2803	Chicago	Illinois	60610	8008	Cook	Sandburg Village	299	299	324	Condo		1963	07238309	CLSD		234000	225000	225000	229000	Conventional	N/A	98%	96%	24	24	17042070861078				2364	Homeowner	2007	475	No		No			28		0	Not Reported				S (South)	3	1	1	0	1		1		1	Attached	None	None	Beautiful rehabbed 1-bedroom. Fabulous south and west city views. Granite & stainless in kitchen w/ huge island. Track lighting in LR. Ready for move-in. Full amenity bldg: 24 hr. doorman, sun deck, fitness room & cleaners. Pools, tennis courts in complex. Fabulous location! Close to park, lake, shopping, restaurants, bus and subway. Pet friendly, too.	Building has wait list for parking but month to month parking is available in complex (at higher fee).		2 (Window/Wall Unit)	Hot Water/Steam		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal													TV-Cable, Ceiling Fan		Wood Laminate	Wood Laminate	None	Wood Laminate				16X11	18X17	09X08		COMBO			Combined w/ LivRm	Door Monitored By TV	06/08/2009	07/01/2009	07/01/2009	08/24/2009	
AT	1460	N	SANDBURG	TER	2506	Chicago	Illinois	60610	8008	Cook		299	299	324	High Rise (7+ Stories), Studio		1962	07258532	CLSD		209900	175000	175000	186000	Conventional	N/A	94%	83%	115	115	17042070861156	No			2064	None	2007	340	Yes		No			25		0	Not Reported				N (North), E (East), City, Lake/Water	3	0	0	0	1		1	0	1	Attached	None	None	ENJOY UNOBSTRUCTED LAKE VIEWS FROM YOUR OWN BALCONY. AMAZING JUNIOR 1BR RECENLTY REHABBED UNIT FEATURES: HWDFLRS, MODERN SLIDING BR DOOR & MAPLE KITCHEN CABS W/GRANITE COUNTERS.  FULL AMENITY BLDG W/2 OLYMPIC SIZE POOLS, TENNIS CLUB & HEALTH CLUB. WALK TO ENTERTAINMENT, LAKE, PARKS & ONLY 2 BLOCKS TO RED LINE CTA. A MUST SEE!	Tenant occupied $1300/month. Lease is month to month		1 (Window/Wall Unit)	Gas, Hot Water/Steam				Oven/Range, Microwave, Refrigerator		Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Other	TV-Cable, Security System		Other	Other	None						22X17	8X7		COMBO				Balcony, Storms/Screens	06/30/2009	10/22/2009	10/22/2009	11/30/2009	
AT	1460	N	Sandburg	TER	1510	Chicago	Illinois	60614	8008	Cook	Sandburg	299	299	324	Condo, High Rise (7+ Stories)		1963	07292719	CLSD		225000	215000	215000	219000	FHA	N/A	98%	96%	31	31	17042070861254				2253.14	Homeowner	2008	454	Yes		Yes			15		0	Not Reported				N (North)	3	1	1	0	1		1		1	Attached	None	None	Drop dead gorgeous direct view of lake and park. Updated kitchen with dishwasher and pass through to dining. Upgraded flooring, large living/dining. Designer bath includes jaccuzi tub, new vanity, tile, medicine cabinet and lighting. Large bedroom will accomodate king bed and dresser set. Rooftop sundeck, doorman, Free Tennis, storage.Bike storage, CHEAP Rental+Guest Parking.LOW DOWNPAYMENT OK FHA FINANCING!! AWESOME	Rarely available North facing with great lake view! EZ show		2 (Window/Wall Unit)	Baseboard		Hardwood Floors, Storage				Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Party Room, Sundeck, Pool-Outdoors, Service Elevator, Tennis Court/s, Whirlpool, Curbs/Gutters, Gated Entry, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				80	Yes								Ceiling Fan		Ceramic Tile	Wood Laminate	None	Wood Laminate				16X11	18X17	12X8				Whirlpool		Storms/Screens, Door Monitored By TV	08/06/2009	09/05/2009	09/05/2009	09/30/2009	
AT	1460	N	SANDBURG	TER	1702	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	324	Condo, High Rise (7+ Stories)		1962	07298581	CLSD		425000	390000	390000	419900	Cash	N/A	93%	92%	68	68	17042070861040				2916.00		2007	725	Yes		No			17		1100					N (North), E (East), City, Lake/Water, Park	5	3	3	0	2		2		1	Attached	None		Spectacular 3 bedroom unit with an incredible northeast exposure.  See lake and park views.  Rarely available.  This unit has been completely rehabbed.  S/S appliances, 42 inch wood cabinets and so much more.  A must see!  Don't miss it!			3+ (Window/Wall Unit)	Hot Water/Steam, Radiant		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s, Valet/Cleaner, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet	Hardwood					TV-Cable, Intercom		Hardwood	Hardwood	Full	Carpet	14X12	12X9		14X12	14X14	10X10		COMBO		Separate Shower		Balcony, End Unit	08/13/2009	10/19/2009	10/19/2009	10/27/2009	
AT	1460	N	Sandburg	TER	2501	Chicago	Illinois	60610	8008	Cook	Alcott House	299	299	324	Condo, High Rise (7+ Stories)		1962	07318922	CLSD		319000	295000	295000	319000	Conventional	N/A	92%	92%	17	17	17042070761022				4296	None	2007	738	No		Yes			25		0	Not Reported				S (South), E (East)	5	2	2	0	2		2		1	Attached	None	None	Rarely available high floor split two bedroom/two bath w/large private balcony. Fantastic SE lake and city views from every room. Spacious living room w/sep dining area. Unit features include new Ralph Lauren paint, new sisal carpeting throughout, new ss appliances, countertop, sink in kitchen. New light fixtures. Two pets ok up to 25 lbs. each. Enjoy all the city has to offer! Seller pays special assessment.	Full Amenity bldg includes 24 hr doorman, pool, tennis, fitness, storage, laundry & rooftop sundeck.		3+ (Window/Wall Unit)	Gas, Hot Water/Steam		Hardwood Floors, Storage		Oven/Range, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal							Carpet					Carpet	TV-Cable		Hardwood	Carpet	None	Carpet	13X14			12X17	14X20	08X11		09X10	Gallery		Combined w/ LivRm	Balcony, End Unit	09/08/2009	09/24/2009	09/24/2009	10/27/2009	
AT	1460	N	Sandburg	TER	812	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	324	Condo, High Rise (7+ Stories)		1963	07339905	CLSD		250000	220000	220000	250000	Conventional	C	88%	88%	65	65	17042070861302				3600		2008	690	No		No			8		1100					N (North), W (West)	5	2	2	0	2		2		1	Attached	None	None	Amazing value: Sunny,spacious, NW corner split-plan 2 bdrm, 2 bath with large private balcony. Ready for remodeling. Original condition, sold AS IS. Bring your ideas. Great space to work with. Full amenity bldg: 24 hr. doorman, sun deck, fitness room, cleaners. Pools, tennis courts in complex. Fabulous location! Close to park, lake, shopping, restaurants, bus and subway. Pets OK-w/restrictions.	Subject to Court Approval. Estate Sale-Sold AS IS. FHA approved building.		3+ (Window/Wall Unit)	Hot Water/Steam				Oven/Range, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Tennis Court/s, Valet/Cleaner	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Vinyl					Vinyl	TV-Cable, Ceiling Fan		Vinyl	Vinyl	None	Vinyl	14X13			16X12	20X14	09X08		09X10			L-shaped	Balcony, Storms/Screens, End Unit, Door Monitored By TV	10/02/2009	12/05/2009	12/05/2009	01/14/2010	
