TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	1255	N	Sandburg	TER	2710	Chicago	Illinois	60610	8008	Cook		299	299	324	Condo, High Rise (7+ Stories)		1965	07156046	CLSD		247900	237000	237000	247900	Cash	N/A	96%	96%	113	107	17042090431178	No			2858.67	None	2007	562	No		No			27		800					E (East)	5	2	2	0	1		1		1		None	None	Sunny, spacious, totally updated 2 br condo in Sandburg Village! Beautiful lake views from 27th floor. Brand new open kitchen w/granite, maple & ss, new bath, flooring & carpet, crown molding. Lrg br, 2nd br or den/office, computer nook, lots of storage. Bldg has 24 hr doorman, pool, tennis cts. Leased parking $120/mo., no wait! Gold Coast living, close to bus, el, shopping, dining, nightlife! *** FHA approved **	GREAT REHAB, SHOWS WELL!		2 (Window/Wall Unit)	Gas, Hot Water/Steam		Hardwood Floors		Oven/Range, Dishwasher, Dishwasher-Portable		Door Person, Coin Laundry, Elevator, On Site Manager/Engineer, Pool-Outdoors, Tennis Court/s, Curbs/Gutters, Sidewalks	Heat, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet								Wood Laminate	Wood Laminate	None	Carpet	10X8			13X13	11X12	9X7			Den, Other		Combined w/ LivRm		03/10/2009	06/24/2009	06/24/2009	09/01/2009	
AT	1255	N	SANDBURG	TER	1803E	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	324	Condo, High Rise (7+ Stories)		UNK	07273642	CLSD		215000	197000	197000	197500	Conventional	N/A	100%	92%	98	98	17042220621069				2529.86	None	2007	499	No		No			18		0	Not Reported				W (West)	4	1	1	0	1		1		1	Attached	None		Large 1 bedroom in highly sought after Sandburg Village – awesome location – steps to Redline, Jewel, Buses, Rush/Division - Walk to Lake, Michigan Ave, Loop. Extra large master bedroom, great closet space, cool views, lots of windows, separate desk area, space for dining room table.  You wont be disappointed. Building features doorman, 2 pools, tennis courts. Asm incl everything but electric.  Rental parking avail.	Taxes dont have homeowners exempt, FHA approved, Pet friendly, healthy association - no increase in 2009. Units in this building are rarely available!  Perfect first time home buyer place - and no need to have a car!		2 (Window/Wall Unit)	Hot Water/Steam		Elevator, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Receiving Room, Tennis Court/s	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Carpet			Hardwood	Carpet	None	Carpet				16X11	20X13	10X09		08X07			Combined w/ LivRm	Storms/Screens	07/16/2009	10/21/2009	10/21/2009	12/03/2009	
AT	1255	N	Sandburg	TER	1106	Chicago	Illinois	60610	8008	Cook	Eliot House	299	299	324	Condo, High Rise (7+ Stories)		UNK	07285683	CLSD		234900	227500	227500	234900	Conventional	N/A	97%	97%	163	14	17042220621144				2395.62	Homeowner	2007	476	Yes		No			11		750					N (North), E (East), City	3	1	1	0	1		1	0	1	Attached	Full		Stunning totally updated East facing with north to Park view at Eliot House. Redone Kitchen with granite bkfst bar and marble bksplash. Crown molding, hdwd style, lots of closets, redone bathroom with granite and linen storage. Convenient GC living near Red line, shopping, restaurants, Lake and farmer's market. FHA approved. Pkg only $120/mo. Sandburg association fee $51.71. Opportunity home!	Need notice to show. Shows very well & move in condition.		2 (Window/Wall Unit)	Gas, Baseboard		Hardwood Floors		Oven/Range, Microwave, Dishwasher, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, Party Room, Sundeck, Pool-Outdoors, Receiving Room, Service Elevator, Tennis Court/s, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Heat, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				72								Hardwood	TV-Cable, Intercom		Hardwood	Hardwood	None	Carpet				11X16	18X11	11X10		COMBO			Combined w/ LivRm		07/30/2009	08/12/2009	08/12/2009	09/30/2009	
AT	1255	N	SANDBURG	TER	1210	Chicago	Illinois	60610	8008	Cook	ELIOT HOUSE	299	299	324	Condo, High Rise (7+ Stories)		1969	07299947	CLSD		199900	160000	160000	185900	Conventional	N/A	86%	80%	102	102	17042220621253	No			2655.11	None	2008	521	No		No			12		0	Not Reported				E (East)	3	1	1	0	1		1		1	Attached	None		PRICED TO SELL. LARGE 1 BED IN EXCELLENT SANDBURG LOCATION. GREAT NATURAL LIGHT AND CITY VIEWS. TONS OF CLOSET SPACE. BUILDING FEATURES 24 HOUR DOORMAN, STORAGE, FITNESS CENTER, POOLS AND TENNIS COURTS, 1 BLOCK TO RED LINE, GROCERY AND EVERYTHING THE CITY HAS TO OFFER. FHA APPROVED. PARKING $120/MONTH.			2 (Window/Wall Unit)	Baseboard				Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, On Site Manager/Engineer, Pool-Outdoors, Receiving Room	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger															Ceramic Tile	Carpet	None	Carpet				13X15	20X13	10X8		8X5			Combined w/ LivRm, L-shaped		08/13/2009	11/22/2009	11/22/2009	01/15/2010	
AT	1255	N	SANDBURG	TER	302	Chicago	Illinois	60610	8008	Cook		299	299	324	Condo, High Rise (7+ Stories)		1965	07307781	CLSD		279900	220000	220000	249900	Conventional	N/A	88%	79%	100	100	17042220621029				3744		2007	730	No		No			3		0	Not Reported				S (South), E (East), City	5	2	2	0	2		2		1	Attached	None		Rarely avail bright, spacious corner condo in superb Old Town / Gold Coast location. Updated Kit w/ wood Cabs, SS appl w/ice maker, 1 ¼” granite Bedrms are Lge w/ Lge closets & built in shelving. South city views of Hancock, Willis & Trump tower from living Rm & opens to balcony. Nice green view of surrounding tree tops.Walk to Michigan Ave, ½ bl to red Ln. Supermarkets, Restaurants, Lakefront. What a price!!	INDOOR GARAGE PARKING $120/MONTH. BUILDING FHA APPROVED. STORAGE LOCKER. BIKE ROOM.  $2.4M IN RESERVE.		3+ (Window/Wall Unit)	Gas, Hot Water/Steam		Elevator, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Sundeck, Pool-Outdoors, Service Elevator, Tennis Court/s	Heat, Water, Doorman, TV/Cable, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Parquet					Parquet	TV-Cable, Intercom		Parquet	Parquet	Y	Parquet	16X12			15X13	19X15	09X08		09X09			Combined w/ LivRm	Balcony, Storms/Screens, End Unit	08/25/2009	12/02/2009	12/02/2009	12/16/2009	
AT	1255	N	Sandburg	TER	412	Chicago	Illinois	60610	8008	Cook	Sandburg Village	299	299	1	Condo		1965	07303720	CLSD		239900	230000	230000	239900	Conventional	N/A	96%	96%	36	36	17042220621298	No			1517	Homeowner	2007	550	No		No			4		0	Not Reported				N (North), E (East)	4	1	1	0	1		1		1	Attached	None		Gorgeous completely rehabbed in '07 w/ lrg 16X6 balcony.  This corner unit overlooks lush treeline and has northeast sunny exposure. Home has oak hrdwd flrs thruout, new bth, new kit, new air, new lower/upper moldings & closet organizers. New lrg galley kitchen w/42' custom cabinetry, blk app, granite, sep dining & cabinet built-ins/drwrs. Building has pool, storage, doorman and garage parking available for $120 mont	You can also text or email Kim or Colleen for showings.  Awesome place with everything new.  Shows very well!		2 (Window/Wall Unit)	Gas, Hot Water/Steam		Hardwood Floors, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator			Heat, Water, Gas, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Hardwood			Hardwood	Hardwood	None	Carpet				15X12	19X14	10X8		9X9	Balcony, Foyer		Separate	Balcony	08/19/2009	09/23/2009	09/23/2009	10/30/2009	
AT	1255	N	Sandburg	TER	1401	Chicago	Illinois	60610	8008	Cook		299	299	324	Condo		1964	07321921	CLSD		229000	208000	208000	225000	FHA	N/A	92%	91%	54	54	17042220621012	No			1560.08	None	2007	554	No		No			14		0	Not Reported					4	1	1	0	1		1		1	Attached	None		WHAT A POTENTIAL! PRICED TO SELL, LARGE 1BD/1BTH END UNIT WITH  HUGE BALCONY,NEEDS A LITTLE WORK, BUT SO WORTH IT! BUY TO ENJOY OR RENT OUT FOR GOOD MONTHLY INCOME. PLENTY OF STORAGE, GARAGE SPACE IS AVAILABLE FOR EXTRA $120/MO. NICE VIEWS. MAINTENANCE FREE LIVING. OWNERS FINANCING IS POSSIBLE - JUST ASK, FHA APPROVED BUILDING	FHA APPROVED BUILDING		2 (Window/Wall Unit)	Hot Water/Steam, Baseboard, Heat Pump		Storage		Oven/Range, Microwave, Dishwasher, Refrigerator		Bike Room/Bike Trails, Door Person, Coin Laundry, Elevator, Storage, On Site Manager/Engineer, Pool-Outdoors	Heat, Water, Common Insurance, Doorman, TV/Cable, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes							Carpet				Carpet	None	Carpet				11X16	19X17	10X08		COMBO			Combined w/ LivRm	Storms/Screens	09/10/2009	11/02/2009	11/02/2009	12/14/2009	
AT	1255	N	SANDBURG	TER	1705	Chicago	Illinois	60610	8008	Cook		299	299	324	Studio		UNK	07357984	CLSD		165000	155000	155000	165000	Conventional	N/A	94%	94%	564	134	17042220621122				1830		2008	346	Yes		No			17		0	Not Reported				W (West)	2	0	0	0	1		1			Attached	None		Wonderful convertible studio with a balcony. These units are rarely available. See some skyline from balcony. Parking available in building. Pet friendly, however # of pets and weight limit apply.  Possible owner financing.		1	1 (Window/Wall Unit)	Gas, Hot Water/Steam			No	Oven-Double, Refrigerator			Heat, Water, Common Insurance, Security, Doorman, TV/Cable, Exterior Maintenance, Scavenger																	None						23X17	9X7							10/15/2009	02/25/2010	02/25/2010	04/15/2010	
AT	1255	N	SANDBURG	TER	2101	Chicago	Illinois	60610	8008	Cook	SANDBURG VILLAGE	299	299	-	Condo		UNK	07386764	CLSD		249000	190000	190000	205000	Conventional	N/A	93%	76%	148	148	17042220621019				1910	Homeowner	2008	576	No		No			21		900					S (South), W (West), City	4	1	1	0	1		1		1	Attached	None	None	Incredible downtown view from balcony, bedroom and living room in this large one bedroom. Corner unit.  Wonderful closet space, dining area and charming kitchen. Perfect location just steps to L stop, buses, shopping, Wells St. & Oak St. beach. Free tennis courts, summer pool and Fitness Formula Club discount membership available (connected to bldg).  FHA approved.	BALCONY & VIEW ARE GREAT. NICE LARGE RMS & STORAGE.		3+ (Window/Wall Unit)	Hot Water/Steam		Hardwood Floors, Storage	No			Bike Room/Bike Trails, Door Person, Coin Laundry, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Receiving Room, Security Door Locks, Service Elevator, Tennis Court/s	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Scavenger, Snow Removal					Yes							Carpet			Ceramic Tile	Carpet	None	Carpet				14X11	15X16	08X10		11X09	Balcony, Foyer		Combined w/ LivRm	Balcony, Porch, Storms/Screens	11/25/2009	04/21/2010	04/21/2010	06/15/2010	
AT	1255	N	SANDBURG	TER	1702E	Chicago	Illinois	60610	8008	Cook	Sandburg Village	299	299	324	Condo		UNK	07391504	CLSD		279900	248500	248500	279900	Cash	N/A	89%	89%	37	37	17042220621042				681.08	Homeowner, Other, Senior	2008	783	Yes		No			17		1122					S (South), E (East)	5	2	2	0	2		2		1	Attached	None		Spectacular South East exposure from this 2 bedroom, 2 bathroom condominium with a balcony.  Rarely Available!!!  Will not last, priced to sell.			3+ (Window/Wall Unit)	Gas, Hot Water/Steam				Oven/Range, Refrigerator		Door Person, Elevator, Storage, On Site Manager/Engineer, Pool-Outdoors, Receiving Room, Service Elevator	Heat, Water, Common Insurance, Doorman, TV/Cable, Exterior Maintenance, Scavenger																	Y		12X16			15X13	19X15	8X9		9X9					12/03/2009	01/08/2010	01/08/2010	01/27/2010	
