TYP	Street #	CP	Str Name	Sfx	Unit #	City	State	Zip	Area	County	Subdivision	GS Dist	HS Dist	Tot # Units	Type DE/AT	# Stories	Yr Blt	MLS #	Stat	Contingency	Orig List Pr	LP/SP	Sold Pr	List Price	FIN	Short Sale/Foreclosed/Court Approved	SP:LP	SP:OLP	MT	LMT	PIN	Mult PINs	Addl Tax Info	% Common	Taxes	Tax Exemps	Tax Year	As/Asc Dues	MAF	Master Association Fee($)	Spec Assess	Special Service Area	Special Service Area Fee	Unit Fl No	Model	ASF	SF Source	Total SF	Main SF	Aprx Total Fin SF	Exposure	# Rms	Beds	All Beds	Bsmt. Beds	# Full Baths	# Half Baths	Baths	# Interior Fireplaces	#GSp	Garage Type	Bsmt	Basement Description	Remarks	Agent Remarks	# Parking Spaces	Air	Heat/Fuel	AAG	Interior Property Features	Is Parking Included in Price?	Appliances	Amen	Com Ar Amen	Asses Incl	Management Company	Management Contact Name	Management Phone	% Own Occ	Can Owner Rent	Parking Fee/Lease $	2nd Bdr Flr	3rd Bdr Flr	4th Bdr Flr	Deeded Garage Cost	Deeded Parking Cost	Din Flr	Equipment	Fam Rm Flr	Kit Flr	Liv Rm Flr	Mast Bd Bth	Mast Bd Flr	2nd Bdr Sz	3rd Bdr Sz	4th Bdr Sz	Mast Br Sz	Liv Rm Sz	Kit Sz	Fam Rm Sz	Din Sz	Additional Rooms	Bth Amen	Din Rm	Exterior Property Features	List Date	Contract Date	Off Mkt Dt	Closed Date	Acreage
AT	505	N	LAKE SHORE	DR	4708	Chicago	Illinois	60611	8008	Cook		299	299	720	Condo, High Rise (7+ Stories)		1968	07273029	CLSD		605000	540000	540000	599000	Conventional	N/A	90%	89%	252	252	17102140161239	No		0	6473	None	2008	714	Yes		No			47		1450					S (South), E (East), W (West), City, Lake/Water, Park	5	2	2	0	2		2	0	1	Attached	None	None	Spacious 2BR.2BA (1450 sf), open kitchen, updated baths, immaculate condition, neutral colors throughout. South sunny lake & city views. See DuSable Harbor and LSD lit up at night.  Lake Point Tower has every amenity, indr plus outdr pools, health club, steam & sauna, hot tubs, 2.5 acre private park, 24 hr. drmn, grocery, cleaners & more.  Steps to CTA, Trolley and water taxis. Lakefront exercise path just outside.	1 hr. parking for $2.00.  Give business card to cashier after showing.		Zoned	Electric			No	Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Sidewalks, Street Lights, Street Paved	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal							Carpet					Carpet			Marble	Carpet	Full	Carpet	16X11			21X11	25X14	13X11		11X10	Gallery		L-shaped		07/14/2009	03/22/2010	03/22/2010	05/19/2010	
AT	505	N	LAKE SHORE	DR	6311	Chicago	Illinois	60611	8008	Cook	LAKE POINT TOWER	299	299	725	Condo, High Rise (7+ Stories)		1969	07170128	CLSD		970000	890000	890000	949000	Cash	N/A	94%	92%	171	171	17102140161044				10572	None	2007	1168	No		No			63		1800					N (North), S (South), W (West), City, Lake/Water	5	2	2	0	2		2		2		None	None	ELEGANT CORNER. HD FLOORS, MOLDINGS, VERY SPACIOUS LIVING-DINING AREA. PERFECT FOR ENTERTAINING! OPEN KITCHEN WITH LGE GRANITE COUNTERS, SOFFIT LIGHTING COMPUTER NOOK-LAUNDRY, 20 WIDE WINDOWS LOOKING OUT SOUTH & NORTH LAKE & CITY. EXCITING NIGHT CITY VIEWS. MILLION DOLLAR SPA, 2-POOLS, SAUNA/STEAM RM, 2.5 ACRE  PRIVATE PARK. LPT HAS MARKET, CLEANERS  CITE-RESTAURANT, 3-CTA BUSES & FREE TROLLEY AT THE FRONT DOOR.			3+ (Window/Wall Unit)	Electric, Indv Controls		Laundry Hook-Up in Unit		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool							Carpet					Hardwood			Hardwood	Hardwood	Full	Carpet	10X15			13X20	19X39	10X10		11X12			Combined w/ LivRm	Grill-Outdoors, End Unit	03/25/2009	09/11/2009	09/11/2009	11/05/2009	
AT	505	N	LAKE SHORE	DR	4105	Chicago	Illinois	60611	8008	Cook		299	299	755	Condo, High Rise (7+ Stories)		1968	07177263	CLSD		585000	540000	540000	575000	Conventional	N/A	94%	92%	247	72	17102140191241				5563	None	2007	607	Yes		No			41		1450					E (East), Lake/Water, Park	5	2	2	0	2		2	0	1	Attached	None	None	Large 2BR/2BA (1450 sf) overlooking the Lake, Navy Pier, Ohio Street Beach and Olive Park.  Open floor plan with immediate view of the lake from every room.  French doors to 2nd bedroom. Huge Plus: Washer/Dryer in unit.  Shows well.  Lake Point Tower offers indoor and outdoor pools, private 2.5 acre park, health club, steam & sauna, hot tubs, grocery, dry cleaners, 24 hr. drmn. and much more.  Steps to CTA, Trolley.	1 HR. PARKING $2.00 W/BUSINESS CARD		3+ (Window/Wall Unit)	Electric		Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Water, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Scavenger							Carpet					Carpet	TV-Cable, TV Antenna, Security System		Ceramic Tile	Carpet	Full	Carpet	12X11			19X11	25X14	10X10		11X10			Combined w/ LivRm		04/02/2009	06/12/2009	06/12/2009	08/28/2009	
AT	505	N	Lake Shore	DR	6105	Chicago	Illinois	60611	8008	Cook		299	299	729	Condo, High Rise (7+ Stories)		1968	07169848	CLSD		449900	408000	408000	449900	Cash	N/A	91%	91%	113	113	17102140161074	No			4302.18	None	2007	479	No		No			61		1100					E (East), Lake/Water, Park	4	1	1	0	1		1	0	1	Attached	None	None	HIGH FLOOR MODERN LUXURY AT ITS BEST! COMPLETE RENOVATION, HARDWOOD FLRS,10 FT. GRANITE CENTRAL ISLAND, WOLF/SUBZERO APPLS.,SLATE & MARBLE BATH W/STEAM SHOWER & DIGITAL SPRAYS, CUSTOM BUILT-IN CLOSET/CABINETS IN BDRM, FRENCH DOORS, NEW HVAC UNITS, WASHER/DRYER HOOK-UP. SPECTACULAR NEVER ENDING LAKE VIEWS. LAKE POINT TOWER IS A FULL AMENITY BLDG. CTA AND NAVY PIER TROLLEY RIGHT OUTSIDE. PRE-APPROVED BUYER, SHOW & SELL	$2 FOR 1 HR. PARKING W/BUSINESS CARD.  AGENT IS RELATED TO SELLER.		3+ (Window/Wall Unit)	Electric		Sauna/Steam Room, Hardwood Floors, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Security Door Locks, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Curbs/Gutters, Sidewalks, Street Lights, Street Paved	Water, Common Insurance, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal												Hardwood	TV-Cable		Hardwood	Hardwood	None	Carpet				16X13	25X14	10X10		11X10		Steam Shower	Combined w/ LivRm		03/25/2009	07/15/2009	07/15/2009	08/10/2009	
AT	505	N	LAKE SHORE	DR	5101	Chicago	Illinois	60611	8008	Cook		299	299	750	Condo, High Rise (7+ Stories)		1968	07194933	CLSD		599000	480000	480000	569000	Conventional	N/A	84%	80%	318	318	17102140161478	No		0	6690	None	2008	754	Yes		No			51		1450					N (North), W (West), City, Lake/Water, Park	5	2	2	0	2		2	0	1	Attached	None	None	HIGH FLOOR 2BR-2BTH. ALL OPEN KITCHEN WITH HUGE BREAKFAST BAR,GRANITE COUNTER.BATHROOMS ARE ORIGINAL AND NEED UPDATING. NEWLY PAINTED,-WASHER DRYER.SOLD "AS IS" VERY GOOD VALUE FOR HIGH FLOOR.  CITY LIGHTS ARE SPECTACULAR, PLUS LAKE VIEWS.  LAKE POINT TOWER IS THE LUX. BLDG. INDOOR/OUTDOOR POOLS--health club, steam & sauna, hot tubs, 2.5 acre private park GROCERY STORE,DRY CLEANERS,FREE TROLLEY RIDES IN THE SUMMER,ET	1 hr. parking for $2.00.  Give business card to cashier after  showing. --great value.		Zoned	Electric			No	Oven/Range, Microwave, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool, Sidewalks, Street Lights, Street Paved	Water, Common Insurance, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal					Yes		Carpet					Carpet			Marble	Carpet	Full	Carpet	16X11			21X11	25X14	13X11		11X10	Gallery		L-shaped		04/20/2009	03/03/2010	03/03/2010	04/01/2010	
DP	505	N	LAKE SHORE	DR	D-47	Chicago	Illinois	60611	8008	Cook	LAKE POINT TOWER			435			1968	07208344	CLSD		80000	75000	75000	80000	Cash	N/A	94%	94%	6	6	17102140191330			77	520		2007	68			No														0									Great Space on "D" Level, Close to 2nd Floor Entrance		1													75																											05/06/2009	05/11/2009	05/11/2009	06/22/2009	
AT	505	N	LAKE SHORE	DR	5302	Chicago	Illinois	60611	8008	Cook	Lake Point Tower	299	299	750	Condo, High Rise (7+ Stories)		1968	07190177	CLSD		949000	875000	875000	949000	Cash	N/A	92%	92%	216	216	17102140161173	No			9764.58	None	2008	1078	Yes		No			53		1850					N (North), E (East), W (West), City, Lake/Water	6	3	3	0	3		3	0	1	Attached	None	None	Ideal NW Corner w/amazing city,LSD&lake views.Completely gutted w/incredible finishes.Expanded KT w/fabulous custom cabs,black titanium granite c-tops,Kitchen Aid Architect series appliances.Gorgeous travertine floors t-out.Unbelievable lighting&organized designer maple closets.Deluxe master ba w/steam shower.Beautiful baths w/all natural stone.New electric,hvac units&all windows w/electric shades+remotes.PERFECTION!	Parking $2 for one hour with business card  Ogden School District!!!		3+ (Window/Wall Unit), Zoned	Electric, Indv Controls, Zoned		Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Refrigerator-Bar, Freezer, Washer, Dryer, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Pool-Indoors, Pool-Outdoors, Receiving Room, Restaurant, Sauna, Service Elevator, Steam Room, Valet/Cleaner, Whirlpool	Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Exterior Maintenance, Lawn Care, Scavenger, Snow Removal				85	Yes		Marble	Marble				Marble	CO Detectors, Ceiling Fan		Marble	Marble	Full	Marble	10X15	11X14		20X13	19X25	10X09		11X12		Separate Shower, Steam Shower, Double Sink, Bidet	L-shaped	Grill-Outdoors, End Unit	04/16/2009	11/17/2009	11/17/2009	12/15/2009	
AT	505	N	LAKE SHORE	DR	1606	Chicago	Illinois	60611	8008	Cook		299	299	720	Condo, High Rise (7+ Stories)		1968	07194322	CLSD		389000	350000	350000	369900	Conventional	N/A	95%	90%	171	171	17002140161656	No			3552	None	2007	390	Yes		No			16		1100					E (East), Lake/Water, Park	4	1	1	0	1		1	0	1	Attached	None	None	LARGE 1BR/1BA (1100 sf) WITH STUNNING EAST LAKE & NAVY PIER VIEWS. ENJOY FIREWORKS TWICE PER WEEK. OPEN WHITE KITCHEN, NEW CARPET, FRESHLY PAINTED. LARGE ROOM SIZES & CLOSETS. MOVE- IN CONDITION. FULL AMENITY BLDG. 2 POOLS, PRIVATE PARK, NEW HEALTH CLUB, BBQ GRILLS, 24HR. DRMN, GROCERY, DRY CLNRS. CLOSE TO LAKEFRONT PATH, CTA, TROLLEY, RESTAURANTS, SHOPS AND MICH. AVE.  LOWEST PRICED 1BR!	Parking $2 for 1 hour w/business card.		3+ (Window/Wall Unit), Zoned	Electric				Oven-Double, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Restaurant, Sauna, Steam Room, Valet/Cleaner	Water, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Lawn Care, Scavenger	Habitat				Yes							Carpet	TV-Cable		Vinyl	Carpet	Y	Carpet				16X13	25X15	10X10		11X11			Combined w/ LivRm, L-shaped		04/21/2009	10/08/2009	10/08/2009	11/18/2009	
AT	505	N	LAKE SHORE	DR	4507	Chicago	Illinois	60611	8008	Cook	LAKE POINT TOWER	299	299	750	Condo		1969	07222568	CLSD		649000	591250	591250	649000	Conventional	N/A	91%	91%	93	93	17102140161228	No			7729	None	2007	860	No		No			48		1450					S (South), E (East), W (West), Lake/Water	5	2	2	0	2		2		1	Attached	None	None	2BR/2BA. -LAKE POINT HAS EVERY AMENITY - 2  POOLS, -2.5 ACRE PRIVATE PARK W/DUCK POND-GRILLS. THERE IS A MKT, CLEANERS, CITE RESTAURANT, 24-HR DOORMEN, MAINTENANCE, ON SITE MGMT, PILATES; YOGA, BALLROOM DANCING. NO SMOKING NO PETS. CHANDILIER IN DINING ROOM IS NOT INCLUDED			3+ (Window/Wall Unit)	Electric		Sauna/Steam Room, Laundry Hook-Up in Unit, Storage		Oven/Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal			Water, Common Insurance, Security, Doorman, TV/Cable, Exercise Facilities, Pool, Scavenger												Carpet	TV-Cable		Ceramic Tile	Carpet	Y		11X14			11X20	19X25	09X10		11X12			L-shaped	Hot Tub, Grill-Outdoors, End Unit	05/20/2009	08/20/2009	08/20/2009	10/06/2009	
AT	505	N	LAKE SHORE	DR	5604	Chicago	Illinois	60611	8008	Cook		299	299	720	Condo, High Rise (7+ Stories)		1968	07234434	CLSD		395000	363000	363000	385000	Conventional	N/A	94%	92%	267	267	17002140161135	No			4036	None	2007	449	Yes		No			56		1100					E (East), Lake/Water, Park	4	1	1	0	1		1	0	1	Attached	None	None	Expansive lake views + Navy Pier from every room of this 56th floor 1BR/1BA.  Large foyer and French doors to bedroom for immediate view of lake.  Priced right for buyer to update and decorate to taste.  Unit may have w/d.  Lake Point Tower offers both indoor and outdoor pools, private 2.5 acre park w/ lagoon, BBQ grills, health club, raquetball, steam & sauna, grocery, dry clnrs., 24 hr. drmn., restaurant, etc.	Parking $2 for 1 hour w/business card.		3+ (Window/Wall Unit), Zoned	Electric			No	Oven-Double, Dishwasher, Refrigerator, Disposal		Bike Room/Bike Trails, Door Person, Coin Laundry, Commissary, Elevator, Exercise Room, Storage, Health Club, On Site Manager/Engineer, Park/Playground, Party Room, Sundeck, Pool-Indoors, Pool-Outdoors, Restaurant, Sauna, Steam Room, Valet/Cleaner	Water, Security, Doorman, TV/Cable, Clubhouse, Exercise Facilities, Pool, Lawn Care, Scavenger					Yes							Carpet	TV-Cable		Vinyl	Carpet	Y	Carpet				16X13	25X15	10X10		11X11			Combined w/ LivRm, L-shaped		06/02/2009	02/23/2010	02/23/2010	05/06/2010	
